generation,# of moves until defeat playing first against minimax,# of moves until defeat playing second against minimax
10,15,18
100,11,8
101,11,8
102,15,30
11,15,18
12,15,10
13,17,10
14,15,10
15,27,20
16,17,10
17,15,10
18,17,10
19,15,10
2,15,18
20,21,10
21,19,10
22,19,10
23,17,10
24,15,18
25,15,14
26,11,8
27,23,18
28,21,18
29,11,8
3,15,10
30,13,8
31,15,18
32,21,18
33,15,18
34,17,18
35,15,18
36,23,18
37,21,18
38,11,8
39,11,8
4,13,20
40,11,18
41,17,8
42,11,8
43,15,18
44,11,8
45,15,18
46,11,8
47,15,18
48,11,8
49,17,18
5,15,10
50,17,8
51,17,8
52,15,8
53,11,8
54,11,8
55,17,8
56,11,8
57,11,8
58,11,8
59,11,8
6,15,10
60,15,18
61,21,8
62,11,8
63,15,18
64,11,8
65,21,8
66,11,8
67,11,8
68,11,8
69,11,8
7,15,16
70,11,8
71,17,8
72,11,8
73,15,22
74,17,18
75,11,8
76,15,28
77,9,8
78,11,8
79,9,8
8,15,16
80,11,8
81,11,8
82,11,8
83,11,8
84,21,18
85,17,30
86,9,12
87,21,20
88,17,16
89,11,8
9,19,10
90,23,26
91,15,16
92,15,8
93,17,8
94,11,8
95,15,12
96,17,30
97,11,8
98,17,12
99,17,14

Time elapsed: 177880
Parameters used:
popSize = 100,
keepNBest = 50,
mutationRate = 0.2,
crossoverRate = 0.7,
maxMutation = 0.2,
roundRobin = true
