generation,# of moves until defeat playing first against minimax,# of moves until defeat playing second against minimax
2,19,10
3,19,10
4,19,10
5,15,16
6,15,16
7,15,16
8,15,16
9,15,16
10,15,16
11,15,16
12,17,10
13,13,12
14,13,12
15,13,12
16,13,12
17,21,10
18,21,10
19,21,10
20,21,10
21,21,10
22,21,10
23,21,10
24,21,10
25,21,10
26,21,10
27,21,10
28,21,10
29,21,10
30,21,10
31,21,10
32,21,10
33,21,10
34,21,10
35,21,10
36,21,10
37,21,10
38,15,16
39,15,16
40,15,16
41,15,16
42,15,16
43,15,16
44,15,16
45,15,16
46,15,16
47,15,16
48,15,16
49,15,16
50,15,16
51,15,16
52,15,16
53,15,16
54,15,16
55,15,16
56,15,16
57,15,16
58,15,16
59,15,16
60,15,16
61,15,16
62,15,16
63,15,16
64,15,16
65,15,16
66,15,16
67,15,16
68,15,16
69,15,16
70,15,16
71,15,16
72,15,16
73,15,16
74,15,16
75,15,16
76,15,16
77,15,16
78,15,16
79,15,16
80,15,16
81,15,16
82,15,16
83,15,16
84,15,16
85,15,16
86,15,16
87,15,16
88,15,16
89,15,16
90,15,16
91,15,16
92,15,16
93,15,16
94,15,16
95,15,16
96,15,16
97,15,16
98,15,16
99,15,16
100,15,16
101,15,16
102,15,16
103,15,16
104,15,16
105,15,16
106,15,16
107,15,16
108,15,16
109,15,16
110,15,16
111,15,16
112,15,16
113,15,16
114,15,16
115,15,16
116,15,16
117,15,16
118,15,16
119,15,16
120,15,16
121,15,16
122,15,16
123,15,16
124,15,16
125,15,16
126,15,16
127,15,16
128,15,16
129,15,16
130,15,16
131,15,16
132,15,16
133,15,16
134,15,16
135,15,16
136,15,16
137,15,16
138,15,16
139,15,16
140,15,16
141,23,16
142,23,16
143,23,16
144,23,16
145,23,16
146,23,16
147,23,16
148,23,16
149,23,16
150,23,16
151,23,16
152,23,16
153,23,16
154,23,16
155,23,16
156,23,16
157,23,16
158,23,16
159,23,16
160,23,16
161,23,16
162,23,16
163,23,16
164,23,16
165,23,16
166,23,16
167,23,16
168,23,16
169,23,16
170,23,16
171,23,16
172,23,16
173,23,16
174,23,16
175,23,16
176,23,16
177,23,16
178,23,16
179,23,16
180,13,18
181,13,18
182,13,18
183,13,18
184,13,18
185,13,18
186,13,18
187,25,24
188,13,18
189,25,24
190,13,18
191,25,24
192,13,18
193,25,24
194,13,18
195,25,24
196,13,18
197,25,24
198,13,18
199,25,24
200,13,18
201,25,24
202,13,18
203,25,24
204,13,18
205,25,24
206,13,18
207,25,24
208,13,18
209,25,24
210,13,18
211,25,24
212,13,18
213,25,24
214,13,18
215,25,24
216,13,18
217,25,24
218,13,18
219,25,24
220,13,18
221,25,24
222,13,18
223,25,24
224,13,18
225,25,24
226,13,18
227,25,24
228,13,18
229,25,24
230,13,18
231,25,24
232,13,18
233,25,24
234,13,18
235,25,24
236,13,18
237,25,24
238,13,18
239,25,24
240,13,18
241,25,24
242,13,18
243,25,24
244,13,18
245,25,24
246,13,18
247,25,24
248,13,18
249,25,24
250,13,18
251,25,24
252,13,18
253,25,24
254,13,18
255,25,24
256,13,18
257,25,24
258,13,18
259,25,24
260,13,18
261,25,24
262,13,18
263,25,24
264,13,18
265,25,24
266,11,10
267,11,10
268,11,10
269,11,10
270,11,10
271,11,10
272,11,10
273,11,10
274,11,10
275,11,10
276,11,10
277,11,10
278,11,10
279,11,10
280,11,10
281,11,10
282,17,14
283,17,14
284,17,14
285,17,14
286,17,14
287,17,14
288,17,14
289,17,14
290,17,14
291,17,14
292,17,14
293,17,14
294,17,14
295,17,14
296,17,14
297,17,14
298,17,14
299,17,14
300,17,14
301,17,14
302,17,14
303,17,14
304,17,14
305,17,14
306,17,14
307,17,14
308,17,14
309,17,14
310,17,14
311,17,14
312,17,14
313,17,14
314,17,14
315,17,14
316,17,14
317,17,14
318,17,14
319,17,14
320,17,14
321,17,14
322,17,14
323,17,14
324,17,14
325,17,14
326,17,14
327,17,14
328,17,14
329,17,14
330,17,14
331,17,14
332,17,14
333,17,14
334,17,14
335,17,14
336,17,14
337,17,14
338,17,14
339,17,14
340,17,14
341,17,14
342,17,14
343,17,14
344,17,14
345,17,14
346,17,14
347,17,14
348,17,14
349,17,14
350,17,14
351,17,14
352,17,14
353,17,14
354,17,14
355,17,14
356,17,14
357,17,14
358,17,14
359,17,14
360,17,14
361,17,14
362,17,14
363,17,14
364,17,14
365,17,14
366,23,12
367,23,12
368,23,12
369,23,12
370,23,12
371,23,12
372,23,12
373,23,12
374,23,12
375,23,12
376,23,12
377,23,12
378,23,12
379,23,12
380,23,12
381,23,12
382,23,12
383,23,12
384,23,12
385,23,12
386,23,12
387,23,12
388,23,12
389,23,12
390,23,12
391,23,12
392,23,12
393,23,12
394,23,12
395,23,12
396,23,12
397,23,12
398,23,12
399,23,12
400,23,12
401,23,12
402,23,12
403,23,12
404,23,12
405,23,12
406,23,12
407,23,12
408,23,12
409,23,12
410,23,12
411,23,12
412,23,12
413,23,12
414,23,12
415,23,12
416,23,12
417,23,12
418,23,12
419,23,12
420,23,12
421,23,12
422,23,12
423,23,12
424,23,12
425,23,12
426,23,12
427,23,12
428,23,12
429,23,12
430,23,12
431,23,12
432,23,12
433,23,12
434,23,12
435,23,12
436,23,12
437,23,12
438,23,12
439,23,12
440,23,12
441,23,12
442,23,12
443,23,12
444,23,12
445,23,12
446,23,12
447,23,12
448,23,12
449,23,12
450,23,12
451,23,12
452,23,12
453,23,12
454,23,12
455,23,12
456,23,12
457,23,12
458,23,12
459,23,12
460,23,12
461,23,12
462,23,12
463,23,12
464,23,12
465,23,12
466,23,12
467,23,12
468,23,12
469,23,12
470,23,12
471,23,12
472,23,12
473,23,12
474,23,12
475,23,12
476,23,12
477,23,12
478,23,12
479,23,12
480,23,12
481,23,12
482,23,12
483,23,12
484,23,12
485,23,12
486,23,12
487,23,12
488,23,12
489,23,12
490,23,12
491,23,12
492,23,12
493,23,12
494,23,12
495,23,12
496,23,12
497,23,12
498,23,12
499,23,12
500,23,12
501,23,12
502,23,12
503,23,12
504,23,12
505,23,12
506,23,12
507,23,12
508,23,12
509,23,12
510,23,12
511,23,12
512,23,12
513,23,12
514,23,12
515,23,12
516,23,12
517,23,12
518,23,12
519,23,12
520,23,12
521,23,12
522,23,12
523,23,12
524,23,12
525,23,12
526,23,12
527,23,12
528,23,12
529,23,12
530,23,12
531,23,12
532,23,12
533,23,12
534,23,12
535,23,12
536,23,12
537,23,12
538,23,12
539,23,12
540,23,12
541,23,12
542,23,12
543,23,12
544,23,12
545,23,12
546,23,12
547,23,12
548,23,12
549,23,12
550,23,12
551,23,12
552,23,12
553,23,12
554,23,12
555,23,12
556,23,12
557,23,12
558,23,12
559,23,12
560,23,12
561,23,12
562,23,12
563,23,12
564,23,12
565,23,12
566,23,12
567,23,12
568,23,12
569,23,12
570,23,12
571,23,12
572,23,12
573,23,12
574,23,12
575,23,12
576,23,12
577,23,12
578,23,12
579,23,12
580,23,12
581,23,12
582,23,12
583,23,12
584,23,12
585,23,12
586,23,12
587,23,12
588,23,12
589,23,12
590,23,12
591,23,12
592,23,12
593,23,12
594,23,12
595,23,12
596,23,12
597,23,12
598,23,12
599,23,12
600,23,12
601,23,12
602,23,12
603,23,12
604,23,12
605,23,12
606,23,12
607,23,12
608,23,12
609,23,12
610,23,12
611,23,12
612,23,12
613,23,12
614,23,12
615,23,12
616,23,12
617,23,12
618,23,12
619,23,12
620,23,12
621,23,12
622,23,12
623,23,12
624,23,12
625,23,12
626,23,12
627,23,12
628,23,12
629,23,12
630,23,12
631,23,12
632,23,12
633,23,12
634,23,12
635,23,12
636,19,10
637,19,10
638,19,10
639,19,10
640,19,10
641,19,10
642,19,10
643,19,10
644,19,10
645,19,10
646,19,10
647,19,10
648,15,16
649,15,16
650,15,16
651,15,16
652,15,16
653,15,16
654,15,16
655,15,16
656,15,16
657,15,16
658,15,16
659,15,16
660,15,16
661,15,16
662,15,16
663,15,16
664,15,16
665,15,16
666,15,16
667,15,16
668,15,16
669,15,16
670,15,16
671,15,16
672,15,16
673,15,16
674,15,16
675,15,16
676,21,18
677,15,16
678,21,18
679,15,16
680,21,18
681,15,16
682,21,18
683,15,16
684,21,18
685,15,16
686,21,18
687,15,16
688,21,18
689,15,16
690,21,18
691,15,16
692,21,18
693,15,16
694,21,18
695,15,16
696,21,18
697,15,16
698,21,18
699,15,16
700,21,18
701,15,16
702,21,18
703,15,16
704,21,18
705,15,16
706,21,18
707,15,16
708,21,18
709,15,16
710,21,18
711,15,16
712,21,18
713,15,16
714,21,18
715,15,16
716,21,18
717,15,16
718,21,18
719,15,16
720,21,18
721,15,16
722,21,18
723,15,16
724,21,18
725,15,16
