generation,# of moves until defeat playing first against minimax,# of moves until defeat playing second against minimax
10,15,10
100,23,10
101,15,10
102,23,10
11,15,10
12,15,10
13,15,10
14,15,10
15,15,10
16,15,10
17,15,10
18,15,10
19,15,10
2,15,14
20,15,10
21,15,10
22,15,10
23,15,10
24,15,10
25,15,10
26,15,10
27,15,10
28,15,10
29,15,10
3,15,10
30,15,10
31,15,10
32,15,10
33,15,10
34,15,10
35,15,16
36,15,10
37,15,10
38,15,10
39,15,10
4,15,10
40,15,10
41,15,10
42,15,10
43,15,10
44,21,10
45,15,10
46,15,10
47,15,10
48,15,10
49,15,10
5,15,10
50,15,10
51,15,10
52,15,10
53,15,10
54,15,10
55,15,10
56,15,10
57,15,10
58,15,10
59,15,10
6,15,10
60,15,10
61,15,10
62,15,10
63,15,10
64,15,10
65,15,10
66,15,10
67,15,10
68,15,10
69,15,10
7,15,10
70,15,10
71,15,10
72,15,10
73,15,10
74,15,10
75,15,10
76,15,10
77,15,10
78,15,10
79,15,10
8,15,10
80,15,10
81,15,10
82,15,10
83,15,10
84,15,10
85,15,10
86,15,10
87,15,10
88,15,10
89,15,10
9,15,10
90,15,10
91,15,10
92,15,10
93,15,10
94,15,10
95,15,10
96,15,10
97,15,10
98,15,10
99,15,10

Time elapsed: 176828
Parameters used:
popSize = 100,
keepNBest = 50,
mutationRate = 0.2,
crossoverRate = 0.5,
maxMutation = 0.2,
roundRobin = true
