generation,# of moves until defeat playing first against minimax,# of moves until defeat playing second against minimax
10,17,10
100,15,10
101,17,10
102,15,10
103,17,10
104,17,10
105,17,10
106,17,10
107,17,10
108,17,10
11,17,10
12,17,10
13,17,10
14,17,10
15,17,10
16,17,10
17,17,10
18,19,10
19,19,10
2,17,10
20,19,10
21,19,10
22,19,10
23,19,10
24,19,10
25,19,10
26,19,10
27,19,10
28,19,10
29,19,10
3,17,10
30,19,10
31,19,10
32,19,10
33,15,10
34,19,10
35,15,10
36,19,10
37,15,10
38,19,10
39,15,10
4,17,10
40,19,10
41,15,10
42,19,10
43,15,10
44,19,10
45,15,10
46,19,10
47,15,10
48,19,10
49,15,10
5,17,10
50,19,10
51,15,10
52,19,10
53,15,10
54,15,24
55,15,24
56,15,24
57,15,24
58,15,24
59,15,24
6,17,10
60,15,24
61,15,24
62,15,24
63,15,24
64,15,24
65,15,24
66,15,24
67,15,24
68,15,24
69,15,24
7,17,10
70,15,24
71,15,24
72,15,24
73,17,24
74,15,24
75,17,24
76,15,24
77,17,24
78,15,24
79,17,24
8,17,10
80,15,24
81,17,24
82,15,24
83,17,24
84,15,24
85,17,10
86,15,24
87,17,10
88,15,24
89,17,10
9,17,10
90,17,10
91,17,10
92,17,10
93,17,10
94,15,10
95,17,10
96,15,10
97,17,10
98,15,10
99,17,10

Time elapsed: 58001
Parameters used:
popSize = 20,
keepNBest = 10,
mutationRate = 0.2,
crossoverRate = 0.7,
maxMutation = 0.2,
roundRobin = false
